9	16.5	188	169
10.5	16.5	199	168
12	16.5	211	167
13.5	16.5	224	166
15	16.5	237	165
16.5	16.5	251	164
18	16.5	265	164
19.5	16.5	278	163
21	16.5	292	162
22.5	16.5	306	162
24	16.5	319	162
25.5	16.5	333	162
27	16.5	346	162
28.5	16.5	359	162
30	16.5	371	163
31.5	16.5	384	163
33	16.5	395	162
34.5	16.5	407	161
36	16.5	418	162
37.5	16.5	428	164
0	18	131	168
1.5	18	140	167
3	18	150	165
4.5	18	159	164
6	18	170	163
7.5	18	180	162
9	18	191	161
10.5	18	202	158
12	18	214	158
13.5	18	226	157
15	18	239	156
16.5	18	252	155
18	18	265	154
19.5	18	278	154
21	18	291	153
22.5	18	305	153
24	18	318	152
25.5	18	331	152
27	18	344	153
28.5	18	356	154
30	18	368	154
31.5	18	380	154
33	18	392	154
34.5	18	403	153
36	18	414	154
37.5	18	423	154
0	19.5	135	161
1.5	19.5	144	159
3	19.5	153	158
4.5	19.5	162	156
6	19.5	172	156
7.5	19.5	183	155
9	19.5	193	152
10.5	19.5	205	151
12	19.5	216	149
13.5	19.5	227	148
15	19.5	240	147
16.5	19.5	253	146
18	19.5	265	146
19.5	19.5	278	145
21	19.5	291	145
22.5	19.5	304	144
24	19.5	317	144
25.5	19.5	329	144
27	19.5	342	144
28.5	19.5	354	145
30	19.5	365	146
31.5	19.5	377	146
33	19.5	388	146
34.5	19.5	399	146
36	19.5	410	146
37.5	19.5	418	147
0	21	139	154
1.5	21	148	152
3	21	157	151
4.5	21	166	150
6	21	175	149
7.5	21	186	146
9	21	196	145
10.5	21	207	144
12	21	218	140
13.5	21	230	140
15	21	242	139
16.5	21	254	138
18	21	266	138
19.5	21	279	138
21	21	291	138
22.5	21	303	138
24	21	315	137
25.5	21	328	136
27	21	340	136
28.5	21	352	137
30	21	362	138
31.5	21	374	139
33	21	385	138
34.5	21	396	138
36	21	406	138
37.5	21	416	139
0	22.5	143	147
1.5	22.5	152	145
3	22.5	161	144
4.5	22.5	170	142
6	22.5	179	140
7.5	22.5	189	138
9	22.5	199	137
10.5	22.5	209	135
12	22.5	220	133
13.5	22.5	231	132
15	22.5	243	130
16.5	22.5	254	130
18	22.5	267	130
19.5	22.5	279	130
21	22.5	290	130
22.5	22.5	302	130
24	22.5	314	130
25.5	22.5	325	130
27	22.5	338	130
28.5	22.5	349	131
30	22.5	361	132
31.5	22.5	371	132
33	22.5	382	133
34.5	22.5	392	132
36	22.5	403	132
37.5	22.5	412	132
0	24	147	140
1.5	24	155	138
3	24	163	136
4.5	24	172	135
6	24	181	133
7.5	24	191	131
9	24	201	130
10.5	24	211	128
12	24	222	126
13.5	24	233	125
15	24	244	124
16.5	24	255	123
18	24	267	123
19.5	24	277	124
21	24	289	124
22.5	24	301	124
24	24	312	124
25.5	24	324	123
27	24	336	124
28.5	24	347	124
30	24	358	125
31.5	24	368	125
33	24	378	126
34.5	24	389	126
36	24	399	126
37.5	24	409	126
0	25.5	150	134
1.5	25.5	158	132
3	25.5	166	130
4.5	25.5	175	129
6	25.5	184	127
7.5	25.5	194	125
9	25.5	204	124
10.5	25.5	214	121
12	25.5	224	120
13.5	25.5	234	118
15	25.5	245	117
16.5	25.5	256	117
18	25.5	268	117
19.5	25.5	279	118
21	25.5	290	118
22.5	25.5	301	119
24	25.5	312	118
25.5	25.5	323	118
27	25.5	335	118
28.5	25.5	345	118
30	25.5	356	119
31.5	25.5	367	120
33	25.5	376	120
34.5	25.5	385	120
36	25.5	396	120
37.5	25.5	406	120
0	27	153	128
1.5	27	161	125
3	27	169	123
4.5	27	178	121
6	27	187	120
7.5	27	196	118
9	27	205	117
10.5	27	215	115
12	27	225	114
13.5	27	236	111
15	27	246	111
16.5	27	257	111
18	27	268	112
19.5	27	279	112
21	27	290	113
22.5	27	300	112
24	27	311	113
25.5	27	322	112
27	27	332	112
28.5	27	343	112
30	27	353	113
31.5	27	363	113
33	27	373	114
34.5	27	383	115
36	27	392	115
37.5	27	401	115
0	28.5	144	148
1.5	28.5	152	146
3	28.5	161	144
4.5	28.5	169	143
6	28.5	179	141
7.5	28.5	189	140
9	28.5	199	137
